"Artist","Genres"
"Lights","canadian folk"
"Lights","canadian pop"
"Lights","electropop"
"Lights","indie poptimism"
"MarilynManson","alternative metal"
"MarilynManson","industrial"
"MarilynManson","industrial metal"
"MarilynManson","industrial rock"
"MarilynManson","nu metal"
"MarilynManson","wrestling"
"Palisades","metalcore"
"Palisades","post-screamo"
"Palisades","trancecore"
"BobMarley&TheWailers","reggae"
"BobMarley&TheWailers","roots reggae"
"Beartooth","modern rock"
"Beartooth","post-screamo"
"AvengedSevenfold","alternative metal"
"AvengedSevenfold","nu metal"
"TheBlackKeys","alternative rock"
"TheBlackKeys","blues rock"
"TheBlackKeys","garage rock"
"TheBlackKeys","modern alternative rock"
"TheBlackKeys","modern blues rock"
"TheBlackKeys","modern rock"
"TheBlackKeys","punk blues"
"TheBlackKeys","rock"
"JoeSatriani","album rock"
"JoeSatriani","hard rock"
"JoeSatriani","instrumental rock"
"JoeSatriani","metal guitar"
"JoeSatriani","neo classical metal"
"JoeSatriani","shred"
"VanHalen","album rock"
"VanHalen","classic rock"
"VanHalen","hard rock"
"VanHalen","metal"
"VanHalen","rock"
"Paramore","candy pop"
"Paramore","emo"
"Paramore","pixie"
"Paramore","pop emo"
"Paramore","pop punk"
"LinkinPark","alternative metal"
"LinkinPark","nu metal"
"LinkinPark","post-grunge"
"LinkinPark","rap metal"
"NeckDeep","modern rock"
"NeckDeep","pop punk"
"NeckDeep","uk pop punk"
"DeanMartin","adult standards"
"DeanMartin","easy listening"
"DeanMartin","lounge"
"DeanMartin","vocal jazz"
"BadReligion","punk"
"BadReligion","skate punk"
"BadReligion","socal pop punk"
"Silverstein","canadian post-hardcore"
"Silverstein","canadian rock"
"Silverstein","metalcore"
"Silverstein","pop punk"
"Silverstein","post-hardcore"
"Silverstein","screamo"
"Misfits","horror punk"
"Misfits","new jersey hardcore"
"Misfits","new jersey punk"
"Misfits","punk"
"ArcticMonkeys","garage rock"
"ArcticMonkeys","modern rock"
"ArcticMonkeys","permanent wave"
"ArcticMonkeys","rock"
"ArcticMonkeys","sheffield indie"
"ThemCrookedVultures","alternative metal"
"ThemCrookedVultures","alternative rock"
"ThemCrookedVultures","blues rock"
"ThemCrookedVultures","modern alternative rock"
"ThemCrookedVultures","modern blues rock"
"ThemCrookedVultures","modern rock"
"ThemCrookedVultures","rock"
"ThemCrookedVultures","stoner rock"
"ThemCrookedVultures","supergroup"
"BreakingBenjamin","alternative metal"
"BreakingBenjamin","nu metal"
"BreakingBenjamin","post-grunge"
"Seether","alternative metal"
"Seether","nu metal"
"Seether","post-grunge"
"Seether","south african rock"
"Drake","canadian hip hop"
"Drake","canadian pop"
"Drake","hip hop"
"Drake","pop rap"
"Drake","rap"
"Drake","toronto rap"
"DestroyRebuildUntilGodShows","Unknown"
"LilDicky","comedy rap"
"LilDicky","pop rap"
"LilDicky","rap"
"Saosin","metalcore"
"Saosin","pop punk"
"Saosin","post-hardcore"
"Saosin","progressive post-hardcore"
"Saosin","screamo"
"FiveFingerDeathPunch","alternative metal"
"FiveFingerDeathPunch","groove metal"
"FiveFingerDeathPunch","nu metal"
"PinkFloyd","album rock"
"PinkFloyd","art rock"
"PinkFloyd","classic rock"
"PinkFloyd","progressive rock"
"PinkFloyd","psychedelic rock"
"PinkFloyd","rock"
"PinkFloyd","symphonic rock"
"FooFighters","alternative metal"
"FooFighters","alternative rock"
"FooFighters","modern rock"
"FooFighters","permanent wave"
"FooFighters","post-grunge"
"FooFighters","rock"
"Queen","classic rock"
"Queen","glam rock"
"Queen","rock"
"CellarDarling","celtic metal"
"CellarDarling","folk metal"
"CellarDarling","hurdy-gurdy"
"CellarDarling","slayer"
"CellarDarling","swiss metal"
"Submersed","alternative metal"
"Submersed","hard alternative"
"Submersed","nu metal"
"Submersed","post-grunge"
"Combichrist","aggrotech"
"Combichrist","ebm"
"Combichrist","electro-industrial"
"Combichrist","industrial"
"Combichrist","industrial metal"
"Combichrist","industrial rock"
"KaiserChiefs","alternative rock"
"KaiserChiefs","dance-punk"
"KaiserChiefs","modern rock"
"KaiserChiefs","rock"
"CreedenceClearwaterRevival","album rock"
"CreedenceClearwaterRevival","classic rock"
"CreedenceClearwaterRevival","country rock"
"CreedenceClearwaterRevival","rock"
"CreedenceClearwaterRevival","roots rock"
"CreedenceClearwaterRevival","southern rock"
"CreedenceClearwaterRevival","swamp rock"
"AllThatRemains","alternative metal"
"AllThatRemains","melodic metalcore"
"AllThatRemains","metalcore"
"AllThatRemains","nu metal"
"MötleyCrüe","Unknown"
"BlackVeilBrides","alternative metal"
"BlackVeilBrides","modern rock"
"BlackVeilBrides","pop punk"
"BlackVeilBrides","screamo"
"Deftones","alternative metal"
"Deftones","nu metal"
"Deftones","rap metal"
"Deftones","rock"
"Deftones","sacramento indie"
"Shinedown","alternative metal"
"Shinedown","modern rock"
"Shinedown","nu metal"
"Shinedown","post-grunge"
"ASkylitDrive","metalcore"
"ASkylitDrive","pixie"
"ASkylitDrive","post-screamo"
"ASkylitDrive","screamo"
"Alestorm","british power metal"
"Alestorm","comic"
"Alestorm","comic metal"
"Alestorm","metal"
"Alestorm","pirate"
"Alestorm","power metal"
"Alestorm","scottish metal"
"FingerEleven","alternative metal"
"FingerEleven","canadian rock"
"FingerEleven","funk metal"
"FingerEleven","nu metal"
"FingerEleven","post-grunge"
"FingerEleven","rap rock"
"FingerEleven","wrestling"
"TheKillers","dance rock"
"TheKillers","modern rock"
"TheKillers","permanent wave"
"TheKillers","rock"
"JAY-Z","east coast hip hop"
"JAY-Z","hip hop"
"JAY-Z","pop rap"
"JAY-Z","rap"
"HighlySuspect","modern alternative rock"
"HighlySuspect","modern rock"
"HighlySuspect","post-grunge"
"HighlySuspect","rock"
"Gorillaz","alternative hip hop"
"DeathCabforCutie","indie pop"
"DeathCabforCutie","indie rock"
"DeathCabforCutie","modern rock"
"DeathCabforCutie","pop rock"
"DeathCabforCutie","washington indie"
"Korn","alternative metal"
"Korn","funk metal"
"Korn","nu metal"
"Korn","rap metal"
"Korn","rock"
"Sublime","reggae fusion"
"Sublime","ska mexicano"
"Sublime","ska punk"
"LimpBizkit","alternative metal"
"LimpBizkit","funk metal"
"LimpBizkit","nu metal"
"LimpBizkit","rap metal"
"LimpBizkit","wrestling"
"TheRollingStones","british invasion"
"TheRollingStones","classic rock"
"TheRollingStones","rock"
"RiseAgainst","chicago hardcore"
"RiseAgainst","chicago punk"
"RiseAgainst","hardcore punk"
"RiseAgainst","pop punk"
"RiseAgainst","punk"
"InThisMoment","alternative metal"
"InThisMoment","melodic metalcore"
"InThisMoment","nu metal"
"TheShins","albuquerque indie"
"TheShins","alternative rock"
"TheShins","indie folk"
"TheShins","indie pop"
"TheShins","indie rock"
"TheShins","modern rock"
"TheShins","portland indie"
"TheShins","stomp and holler"
"SmashIntoPieces","gymcore"
"SmashIntoPieces","modern alternative rock"
"AskingAlexandria","melodic metalcore"
"AskingAlexandria","metalcore"
"AskingAlexandria","trancecore"
"AskingAlexandria","uk metalcore"
"PierceTheVeil","modern rock"
"PierceTheVeil","pop punk"
"SensesFail","emo"
"SensesFail","pop punk"
"SensesFail","post-hardcore"
"SensesFail","screamo"
"BulletForMyValentine","alternative metal"
"BulletForMyValentine","melodic metalcore"
"BulletForMyValentine","metalcore"
"BulletForMyValentine","nu metal"
"BulletForMyValentine","pop punk"
"BulletForMyValentine","uk metalcore"
"BulletForMyValentine","welsh metal"
"SaveFerris","modern ska punk"
"SaveFerris","ska"
"SaveFerris","ska punk"
"AliceInChains","alternative metal"
"AliceInChains","alternative rock"
"AliceInChains","grunge"
"AliceInChains","hard rock"
"AliceInChains","nu metal"
"AliceInChains","rock"
"Red","alternative rock"
"Red","funk metal"
"Red","funk rock"
"Red","permanent wave"
"Red","rock"
"FallOutBoy","emo"
"FallOutBoy","modern rock"
"FallOutBoy","pop punk"
"ISeeStars","deathstep"
"ISeeStars","metalcore"
"ISeeStars","neon pop punk"
"ISeeStars","nintendocore"
"ISeeStars","post-screamo"
"ISeeStars","screamo"
"ISeeStars","trancecore"
"ThreeDaysGrace","alternative metal"
"ThreeDaysGrace","canadian metal"
"ThreeDaysGrace","canadian rock"
"ThreeDaysGrace","nu metal"
"ThreeDaysGrace","post-grunge"
"Woe,IsMe","melodic metalcore"
"Woe,IsMe","metalcore"
"Woe,IsMe","post-screamo"
"Woe,IsMe","screamo"
"Metric","alternative dance"
"Metric","canadian indie"
"Metric","canadian rock"
"Metric","dance-punk"
"Metric","electropop"
"Metric","indie pop"
"Metric","indie rock"
"Metric","indietronica"
"Metric","metropopolis"
"Metric","modern rock"
"Metric","neo-synthpop"
"Metric","new rave"
"Metric","shimmer pop"
"Goldfinger","pop punk"
"Goldfinger","punk"
"Goldfinger","ska"
"Goldfinger","ska punk"
"Goldfinger","skate punk"
"Goldfinger","socal pop punk"
"The1975","modern alternative rock"
"The1975","modern rock"
"The1975","nu gaze"
"The1975","pop"
"The1975","rock"
"Emarosa","lexington ky indie"
"Emarosa","metalcore"
"Emarosa","pop punk"
"Emarosa","post-hardcore"
"Emarosa","progressive post-hardcore"
"Emarosa","screamo"
"Eminem","detroit hip hop"
"Eminem","hip hop"
"Eminem","rap"
"Monuments","djent"
"NineInchNails","alternative metal"
"NineInchNails","alternative rock"
"NineInchNails","cyberpunk"
"NineInchNails","electronic rock"
"NineInchNails","industrial"
"NineInchNails","industrial metal"
"NineInchNails","industrial rock"
"NineInchNails","nu metal"
"NineInchNails","rock"
"blessthefall","melodic metalcore"
"blessthefall","metalcore"
"blessthefall","post-screamo"
"blessthefall","screamo"
"AmonTobin","big beat"
"AmonTobin","drill and bass"
"AmonTobin","electronica"
"AmonTobin","intelligent dance music"
"AmonTobin","jazztronica"
"AmonTobin","ninja"
"AmonTobin","nu jazz"
"AmonTobin","trip hop"
"TheGloriousSons","canadian indie"
"TheGloriousSons","canadian rock"
"TheGloriousSons","kingston on indie"
"TheGloriousSons","modern alternative rock"
"TheGloriousSons","modern rock"
"TheGloriousSons","rock"
"MotherMother","vancouver indie"
"Disturbed","alternative metal"
"Disturbed","nu metal"
"Disturbed","rap metal"
"MotionlessInWhite","alternative metal"
"MotionlessInWhite","metalcore"
"RedHotChiliPeppers","alternative rock"
"RedHotChiliPeppers","funk metal"
"RedHotChiliPeppers","funk rock"
"RedHotChiliPeppers","permanent wave"
"RedHotChiliPeppers","rock"
"Filter","alternative metal"
"Filter","alternative rock"
"Filter","grunge"
"Filter","industrial metal"
"Filter","industrial rock"
"Filter","nu metal"
"Filter","post-grunge"
"Filter","rap rock"
"Filter","rock"
"AsILayDying","Unknown"
"JackWall","epicore"
"JackWall","scorecore"
"JackWall","soundtrack"
"JackWall","video game music"
"Emmure","deathcore"
"Emmure","melodic metalcore"
"Emmure","metalcore"
"Emmure","nu-metalcore"
"Emmure","rap metal"
"TheDoors","acid rock"
"TheDoors","album rock"
"TheDoors","classic rock"
"TheDoors","psychedelic rock"
"TheDoors","rock"
"MGMT","alternative dance"
"MGMT","indie rock"
"MGMT","indietronica"
"MGMT","modern rock"
"MGMT","rock"
"NeonTrees","indie poptimism"
"NeonTrees","modern alternative rock"
"NeonTrees","modern rock"
"NeonTrees","neo mellow"
"NeonTrees","pop"
"NeonTrees","pop rock"
"NeonTrees","post-teen pop"
"NeonTrees","rock"
"Mumford&Sons","modern folk rock"
"Mumford&Sons","modern rock"
"Mumford&Sons","pop rock"
"Mumford&Sons","stomp and holler"
"Mumford&Sons","uk americana"
"IceNineKills","melodic metalcore"
"IceNineKills","metalcore"
"IceNineKills","post-screamo"
"IceNineKills","screamo"
"OwlCity","indietronica"
"OwlCity","modern rock"
"OwlCity","pop"
"OwlCity","pop rock"
"OwlCity","post-teen pop"
"TheInterrupters","punk"
"TheInterrupters","ska"
"TheInterrupters","ska punk"
"TheInterrupters","skate punk"
"Whitechapel","deathcore"
"Whitechapel","melodic metalcore"
"Whitechapel","metalcore"
"Whitechapel","tennessee metal"
"TheDreadnoughts","celtic rock"
"TheDreadnoughts","pirate"
"TheDreadnoughts","shanty"
"TheDreadnoughts","vancouver punk"
"BostonManor","alternative emo"
"BostonManor","anthem emo"
"BostonManor","modern alternative rock"
"BostonManor","modern rock"
"BostonManor","pop punk"
"BostonManor","uk pop punk"
"APerfectCircle","alternative metal"
"APerfectCircle","alternative rock"
"APerfectCircle","nu metal"
"APerfectCircle","rap rock"
"APerfectCircle","rock"
"APerfectCircle","supergroup"
"CookieCrotchNuts","Unknown"
"Pixies","alternative rock"
"Pixies","art rock"
"Pixies","boston rock"
"Pixies","modern rock"
"Pixies","permanent wave"
"Pixies","rock"
"LouReed","art rock"
"LouReed","classic rock"
"LouReed","glam rock"
"LouReed","permanent wave"
"LouReed","psychedelic rock"
"LouReed","rock"
"LouReed","singer-songwriter"
"HandsLikeHouses","australian metalcore"
"HandsLikeHouses","australian post-hardcore"
"HandsLikeHouses","metalcore"
"HandsLikeHouses","pop punk"
"HandsLikeHouses","post-screamo"
"HandsLikeHouses","progressive post-hardcore"
"HandsLikeHouses","screamo"
"AC/DC","australian rock"
"AC/DC","hard rock"
"AC/DC","rock"
"Nightwish","finnish metal"
"Nightwish","finnish power metal"
"Nightwish","gothic metal"
"Nightwish","gothic symphonic metal"
"Nightwish","opera metal"
"Nightwish","power metal"
"Nightwish","symphonic metal"
"RageAgainstTheMachine","alternative metal"
"RageAgainstTheMachine","alternative rock"
"RageAgainstTheMachine","conscious hip hop"
"RageAgainstTheMachine","funk metal"
"RageAgainstTheMachine","nu metal"
"RageAgainstTheMachine","political hip hop"
"RageAgainstTheMachine","rap metal"
"RageAgainstTheMachine","rap rock"
"RageAgainstTheMachine","rock"
"Alexisonfire","canadian post-hardcore"
"Alexisonfire","canadian rock"
"Alexisonfire","melodic metalcore"
"Alexisonfire","metalcore"
"Alexisonfire","pop punk"
"Alexisonfire","post-hardcore"
"Alexisonfire","screamo"
"Auli'iCravalho","disney"
"Auli'iCravalho","hollywood"
"Auli'iCravalho","movie tunes"
"Auli'iCravalho","show tunes"
"BillyTalent","alternative metal"
"BillyTalent","canadian punk"
"BillyTalent","nu metal"
"BillyTalent","pop punk"
"BillyTalent","punk"
"StoneSour","alternative metal"
"StoneSour","nu metal"
"StoneSour","post-grunge"
"StoneSour","rap rock"
"StoneSour","rock"
"SilversunPickups","alternative rock"
"SilversunPickups","dance-punk"
"SilversunPickups","indie pop"
"SilversunPickups","indie rock"
"SilversunPickups","la indie"
"SilversunPickups","modern alternative rock"
"SilversunPickups","modern rock"
"SilversunPickups","rock"
"JoshuaCade","Unknown"
"FosterThePeople","indietronica"
"FosterThePeople","modern rock"
"FosterThePeople","pop"
"FosterThePeople","rock"
"CageTheElephant","modern alternative rock"
"CageTheElephant","modern rock"
"CageTheElephant","punk blues"
"CageTheElephant","rock"
"WeCameAsRomans","christian rock"
"WeCameAsRomans","melodic metalcore"
"WeCameAsRomans","metalcore"
"WeCameAsRomans","post-screamo"
"WeCameAsRomans","screamo"
"WeCameAsRomans","trancecore"
"Flyleaf","alternative metal"
"Flyleaf","christian alternative rock"
"Flyleaf","christian rock"
"Flyleaf","nu metal"
"Flyleaf","post-grunge"
"DestinationAnywhere","german ska"
"SickPuppies","alternative metal"
"SickPuppies","christian rock"
"SickPuppies","modern rock"
"SickPuppies","nu metal"
"SickPuppies","post-grunge"
"SickPuppies","rap rock"
"TakingBackSunday","emo"
"TakingBackSunday","pop punk"
"TheSmashingPumpkins","alternative metal"
"TheSmashingPumpkins","alternative rock"
"TheSmashingPumpkins","grunge"
"TheSmashingPumpkins","permanent wave"
"TheSmashingPumpkins","pop rock"
"TheSmashingPumpkins","rock"
"TheDevilWearsPrada","Unknown"
"TheColorMorale","christian rock"
"TheColorMorale","melodic metalcore"
"TheColorMorale","metalcore"
"TheColorMorale","post-screamo"
"TheColorMorale","progressive post-hardcore"
"TheColorMorale","screamo"
"WeAsHuman","christian alternative rock"
"WeAsHuman","christian hard rock"
"WeAsHuman","christian rock"
"WeAsHuman","gymcore"
"WeAsHuman","hard alternative"
"WeAsHuman","post-screamo"
"OzzyOsbourne","album rock"
"OzzyOsbourne","birmingham metal"
"OzzyOsbourne","hard rock"
"OzzyOsbourne","metal"
"OzzyOsbourne","rock"
"TheStrokes","alternative rock"
"TheStrokes","garage rock"
"TheStrokes","modern rock"
"TheStrokes","permanent wave"
"TheStrokes","rock"
"TwentyOnePilots","modern rock"
"TwentyOnePilots","rock"
"Heartist","electronicore"
"Heartist","gymcore"
"Heartist","metalcore"
"Heartist","post-screamo"
"Adema","alternative metal"
"Adema","industrial metal"
"Adema","nu metal"
"Adema","post-grunge"
"Adema","rap metal"
"Adema","rap rock"
"FromFirstToLast","Unknown"
"CityandColour","canadian folk"
"CityandColour","canadian indie"
"ADayToRemember","Unknown"
"OfMonstersandMen","folk-pop"
"OfMonstersandMen","indie pop"
"OfMonstersandMen","metropopolis"
"OfMonstersandMen","modern alternative rock"
"OfMonstersandMen","modern rock"
"OfMonstersandMen","pop rock"
"OfMonstersandMen","stomp and holler"
"BringMeTheHorizon","melodic metalcore"
"BringMeTheHorizon","metalcore"
"BringMeTheHorizon","rock"
"BringMeTheHorizon","uk metalcore"
"TheBunnyTheBear","Unknown"
"DropkickMurphys","boston punk"
"DropkickMurphys","boston rock"
"DropkickMurphys","celtic punk"
"DropkickMurphys","celtic rock"
"DropkickMurphys","punk"
"DropkickMurphys","skate punk"
"Strata","alternative metal"
"Strata","nu metal"
"HollywoodUndead","alternative metal"
"HollywoodUndead","modern rock"
"HollywoodUndead","nu metal"
"HollywoodUndead","pop punk"
"HollywoodUndead","rap metal"
"HollywoodUndead","rap rock"
"VersaEmerge","candy pop"
"VersaEmerge","neon pop punk"
"VersaEmerge","pixie"
"VersaEmerge","pop emo"
"STARSET","future rock"
"Atreyu","alternative metal"
"Atreyu","melodic metalcore"
"Atreyu","metalcore"
"Atreyu","nu metal"
"Atreyu","pop punk"
"Atreyu","rap rock"
"Atreyu","screamo"
"ChristopherLarkin","indie game soundtrack"
"ChristopherLarkin","oceania soundtrack"
"ChristopherLarkin","video game music"
"TheCranberries","irish rock"
"TheCranberries","pop rock"
"LikeMothsToFlames","Unknown"
"TheMightyMightyBosstones","Unknown"
"BarenakedLadies","canadian pop"
"BarenakedLadies","canadian rock"
"BarenakedLadies","comic"
"BarenakedLadies","pop rock"
"Eve6","anime"
"Eve6","anime rock"
"DeepPurple","album rock"
"DeepPurple","blues rock"
"DeepPurple","classic rock"
"DeepPurple","hard rock"
"DeepPurple","metal"
"DeepPurple","psychedelic rock"
"DeepPurple","rock"
"ShreddyKrueger","canadian post-hardcore"
"ShreddyKrueger","electronicore"
"ShreddyKrueger","kelowna bc indie"
"GordDownie","canadian indie"
"GordDownie","canadian singer-songwriter"
"GordDownie","kingston on indie"
"LadyGaga","dance pop"
"LadyGaga","pop"
"LadyGaga","post-teen pop"
"Periphery","djent"
"Periphery","melodic metalcore"
"Periphery","progressive metal"
"Periphery","progressive metalcore"
"Metallica","hard rock"
"Metallica","metal"
"Metallica","old school thrash"
"Metallica","rock"
"Metallica","thrash metal"
"GreenDay","permanent wave"
"GreenDay","pop punk"
"GreenDay","punk"
"EscapetheFate","alternative metal"
"EscapetheFate","metalcore"
"EscapetheFate","pixie"
"EscapetheFate","pop punk"
"EscapetheFate","screamo"
"Coldplay","permanent wave"
"Coldplay","pop"
"StreetlightManifesto","modern ska punk"
"StreetlightManifesto","punk"
"StreetlightManifesto","ska"
"StreetlightManifesto","ska punk"
"StreetlightManifesto","skate punk"
"ThirtySecondsToMars","modern rock"
"ThirtySecondsToMars","pop punk"
"ThirtySecondsToMars","post-grunge"
"ThirtySecondsToMars","rock"
"EnterShikari","modern rock"
"EnterShikari","nintendocore"
"EnterShikari","trancecore"
"EnterShikari","uk metalcore"
"EnterShikari","uk post-hardcore"
"MarianasTrench","canadian rock"
"MarianasTrench","neon pop punk"
"MarianasTrench","pixie"
"MarianasTrench","pop punk"
"MarianasTrench","pop rock"
"MarianasTrench","post-teen pop"
"ImagineDragons","modern rock"
"ImagineDragons","rock"
"ClassicJack","metalcore"
"ClassicJack","post-screamo"
"SleepingWithSirens","metalcore"
"SleepingWithSirens","modern rock"
"SleepingWithSirens","pop emo"
"SleepingWithSirens","pop punk"
"FlightoftheConchords","Unknown"
"BreatheCarolina","edm"
"BreatheCarolina","electropowerpop"
"BreatheCarolina","neon pop punk"
"BreatheCarolina","pop dance"
"BreatheCarolina","pop punk"
"BreatheCarolina","screamo"
"BreatheCarolina","trancecore"
"Chevelle","alternative metal"
"Chevelle","alternative rock"
"Chevelle","christian rock"
"Chevelle","modern rock"
"Chevelle","nu metal"
"Chevelle","post-grunge"
"Chevelle","rap rock"
"Chevelle","rock"
"HitTheLights","anthem emo"
"HitTheLights","easycore"
"HitTheLights","neon pop punk"
"HitTheLights","pixie"
"HitTheLights","pop emo"
"HitTheLights","pop punk"
"Sting","permanent wave"
"Sting","soft rock"
"Sting","sophisti-pop"
"TaylorSwift","pop"
"TaylorSwift","post-teen pop"
"EltonJohn","glam rock"
"EltonJohn","mellow gold"
"EltonJohn","piano rock"
"EltonJohn","soft rock"
"FaithNoMore","alternative metal"
"FaithNoMore","alternative rock"
"FaithNoMore","funk metal"
"FaithNoMore","funk rock"
"FaithNoMore","hard rock"
"FaithNoMore","nu metal"
"FaithNoMore","rap metal"
"FaithNoMore","rap rock"
"FaithNoMore","rock"
"MyChemicalRomance","emo"
"MyChemicalRomance","pop punk"
"SimplePlan","canadian pop punk"
"SimplePlan","canadian punk"
"SimplePlan","canadian rock"
"SimplePlan","pop punk"
"MickGordon","electronic djent"
"Muse","modern rock"
"Muse","permanent wave"
"Muse","rock"
"TheDeadRabbitts","metalcore"
"TheDeadRabbitts","post-screamo"
"TheDeadRabbitts","screamo"
"TheDeadRabbitts","trancecore"
"CoheedandCambria","alternative metal"
"CoheedandCambria","emo"
"CoheedandCambria","pop punk"
"CoheedandCambria","screamo"
"TheTragicallyHip","canadian indie"
"TheTragicallyHip","canadian rock"
"TheTragicallyHip","kingston on indie"
"TheTragicallyHip","ontario indie"
"TheTragicallyHip","rock"
"Cartel","latin hip hop"
"Cartel","mexican hip hop"
"Arkells","canadian indie"
"Arkells","canadian rock"
"Arkells","hamilton on indie"
"ThousandFootKrutch","alternative metal"
"ThousandFootKrutch","canadian ccm"
"ThousandFootKrutch","canadian metal"
"ThousandFootKrutch","canadian rock"
"ThousandFootKrutch","christian alternative rock"
"ThousandFootKrutch","christian rock"
"ThousandFootKrutch","nu metal"
"ThousandFootKrutch","rap metal"
"TheAll-AmericanRejects","modern rock"
"TheAll-AmericanRejects","neo mellow"
"TheAll-AmericanRejects","pop punk"
"TheAll-AmericanRejects","pop rock"
"TheAll-AmericanRejects","post-teen pop"
"TheRedJumpsuitApparatus","emo"
"TheRedJumpsuitApparatus","pop punk"
"TheRedJumpsuitApparatus","pop rock"
"TheRedJumpsuitApparatus","screamo"
"PapaRoach","alternative metal"
"PapaRoach","modern rock"
"PapaRoach","nu metal"
"PapaRoach","rap metal"
"PapaRoach","rap rock"
"TheNakedAndFamous","Unknown"
"Journey","album rock"
"Journey","classic rock"
"Journey","hard rock"
"Journey","mellow gold"
"Journey","rock"
"Journey","soft rock"
"3DoorsDown","alternative metal"
"3DoorsDown","nu metal"
"3DoorsDown","pop rock"
"3DoorsDown","post-grunge"
"MaydayParade","emo"
"MaydayParade","neon pop punk"
"MaydayParade","pop emo"
"MaydayParade","pop punk"
"MaydayParade","rock"
"FortMinor","rap rock"
"HarryGregson-Williams","british soundtrack"
"HarryGregson-Williams","epicore"
"HarryGregson-Williams","soundtrack"
"HarryGregson-Williams","video game music"
"MatchboxTwenty","neo mellow"
"MatchboxTwenty","pop rock"
"MatchboxTwenty","post-grunge"
"JoelEriksson","Unknown"
"DavidBowie","art rock"
"DavidBowie","classic rock"
"DavidBowie","glam rock"
"DavidBowie","permanent wave"
"DavidBowie","rock"
"IrieRévoltés","Unknown"
"TheGreatestBits","scorecore"
"SystemOfADown","alternative metal"
"SystemOfADown","nu metal"
"SystemOfADown","rap metal"
"BowlingForSoup","comic"
"BowlingForSoup","pop punk"
"BowlingForSoup","texas pop punk"
"TheClash","classic rock"
"TheClash","permanent wave"
"TheClash","punk"
"TheClash","rock"
"LacunaCoil","alternative metal"
"LacunaCoil","gothic metal"
"LacunaCoil","italian gothic"
"LacunaCoil","italian gothic metal"
"LacunaCoil","italian metal"
"LacunaCoil","slayer"
"LacunaCoil","symphonic metal"
"Slipknot","alternative metal"
"Slipknot","double drumming"
"Slipknot","nu metal"
"Slipknot","rap metal"
"SnowPatrol","irish rock"
"SnowPatrol","modern rock"
